               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.032273,            0.016492,           0.0024117,             0.77291,             0.71845,             0.77052,             0.47369,            0.037946,           0.0099736,           0.0045567,             0.00307,             0.00307,             0.00307
                  37,            0.032041,            0.016246,           0.0024676,             0.78184,             0.72283,             0.77568,             0.47067,            0.038283,           0.0099328,           0.0040068,            0.002872,            0.002872,            0.002872
                  38,            0.032037,            0.016324,           0.0022858,              0.7928,             0.73344,             0.77904,              0.4695,            0.037961,           0.0099651,           0.0047403,            0.002674,            0.002674,            0.002674
                  39,             0.03146,            0.016192,           0.0025062,              0.8086,             0.71199,             0.78102,             0.48098,             0.03765,           0.0098132,           0.0050723,            0.002476,            0.002476,            0.002476
                  40,            0.031267,            0.016228,           0.0022059,              0.8157,             0.71134,             0.78054,             0.47449,            0.038036,           0.0098343,           0.0042169,            0.002278,            0.002278,            0.002278
                  41,            0.030976,            0.015893,           0.0022581,              0.7956,             0.72334,             0.77837,             0.47157,            0.038096,            0.010001,           0.0039046,             0.00208,             0.00208,             0.00208
                  42,            0.030779,            0.015947,           0.0020798,             0.79497,             0.71121,             0.78642,             0.47987,            0.037935,           0.0099573,           0.0034462,            0.001882,            0.001882,            0.001882
                  43,            0.029993,            0.015832,           0.0021339,             0.80502,             0.71205,             0.77108,             0.47556,            0.038056,           0.0099239,           0.0039287,            0.001684,            0.001684,            0.001684
                  44,            0.029984,            0.015712,           0.0017668,             0.79584,             0.73567,             0.78562,             0.48344,            0.037963,           0.0099105,           0.0038229,            0.001486,            0.001486,            0.001486
                  45,            0.029517,            0.015733,            0.002083,             0.80347,             0.72043,             0.78443,             0.48225,            0.037987,             0.01005,           0.0038599,            0.001288,            0.001288,            0.001288
                  46,            0.029187,            0.015511,           0.0016452,             0.79948,             0.72527,             0.78202,             0.48143,            0.037775,           0.0099806,           0.0038051,             0.00109,             0.00109,             0.00109
                  47,            0.028921,            0.015446,           0.0017992,             0.80964,             0.72392,             0.78635,             0.48272,            0.037791,           0.0099539,           0.0039822,            0.000892,            0.000892,            0.000892
                  48,             0.02889,            0.015368,           0.0017844,             0.80253,              0.7287,             0.78839,             0.48385,             0.03763,            0.010016,           0.0038443,            0.000694,            0.000694,            0.000694
                  49,            0.028281,            0.015336,           0.0017789,             0.80574,             0.72849,             0.78418,             0.48683,            0.037424,           0.0099967,           0.0039366,            0.000496,            0.000496,            0.000496
